性别,学历,生活区,宿舍人数/人,财产支出,白米饭，面粉/kgCO_2,猪肉/kgCO_2,鸡肉/kgCO_2,牛肉/kgCO_2,食物浪费量/kgCO_2,水果/kgCO_2,每天塑料袋/kgCO_2,每天打包盒/kgCO_2,每天购买新衣服件数kgCO_2,每天购买鞋数kgCO_2,夏秋电费kgCO_2,夏秋热水费kgCO_2,每天作业本/kgCO_2,每天新书本数CO_2,每天打印纸张数CO_2,每天塑料快递件/kgCO_2,每天快递纸盒件/kgCO_2,垃圾每天/kgCO_2,每天干垃圾/kgCO_2,每天湿垃圾/kgCO_2,通勤碳排放kgCO_2,夏季总碳排放
0,0,0,4,0,1.11141,0.005185714285714286,0.3402257142857143,0.0,0.088198464,0.2485714285714286,0.001992,0.012798,0.07111111111111111,0.0,7.929600000000001,0.0004897959183673469,0.0030968,0.01266666666666667,0.002533333333333334,0.01282114285714286,0.01719771428571428,0.2663428571428572,0.0,0.0,0.0,10.124240742458053
0,0,1,4,0,0.954,0.3111428571428571,1.684285714285714,0.0,0.22049616,0.1242857142857143,0.007968,0.19197,0.2844444444444444,0.07671232876712329,14.5376,0.003918367346938775,0.0061936,0.03800000000000001,0.002533333333333334,0.02564228571428571,0.03439542857142857,0.3196114285714287,0.0,0.0,0.0,18.823199662463267
0,0,1,5,0,0.7155,0.2738057142857143,0.8253,5.883068571428572,0.705587712,0.2402857142857143,0.005976,0.12798,0.2844444444444444,0.03835616438356165,7.929600000000001,0.004897959183673469,0.00185808,0.1266666666666666,0.00076,0.02564228571428571,0.03439542857142857,0.1065371428571429,0.04134972857142858,0.005833574428571429,0.0,17.377845186821208
0,0,1,4,0,2.13696,0.9240942857142856,1.347428571428571,0.0,0.0,0.4971428571428571,0.0,0.0,0.2844444444444444,0.07671232876712329,9.911999999999999,0.0,0.00185808,0.1266666666666666,0.00076,0.05128457142857143,0.03439542857142857,0.1598057142857143,0.0,0.0,0.0,15.553552948449662
0,0,0,4,0,1.07325,0.05185714285714285,1.017308571428571,0.9612857142857143,0.088198464,0.4184285714285714,0.0,0.0,0.2844444444444444,0.07671232876712329,2.77536,0.001469387755102041,0.00061936,0.05066666666666667,0.001013333333333333,0.01282114285714286,0.05159314285714284,0.2663428571428572,0.0964827,0.01750072328571428,0.0,7.245354551109527
0,0,0,5,0,1.49301,0.3080314285714286,2.245714285714286,1.057414285714286,0.0,0.116,0.001992,0.012798,0.2844444444444444,0.03835616438356165,8.5904,0.0,0.00185808,0.08866666666666667,0.002533333333333334,0.08974800000000001,0.06879085714285714,0.1598057142857143,0.0,0.0,0.0,14.55956326025658
0,0,1,4,0,1.12095,0.1555714285714286,0.6007285714285715,0.0,0.0,0.03314285714285714,0.0,0.07678799999999998,0.07111111111111111,0.0,7.929600000000001,0.0,0.0061936,0.1013333333333333,0.0005066666666666667,0.01282114285714286,0.01719771428571428,0.2929771428571429,0.0,0.0,0.0,10.41892156825397
0,0,1,4,0,1.53117,0.3235885714285714,0.6523800000000001,0.1922571428571429,0.44099232,0.406,0.002988,0.115182,0.7822222222222223,0.07671232876712329,7.929600000000001,0.007346938775510204,0.0030968,0.1013333333333333,0.00836,0.02564228571428571,0.03439542857142857,0.1598057142857143,0.0,0.0,0.0408,12.833873085955332
0,0,0,4,0,0.7155,0.4148571428571428,0.3368571428571429,0.9612857142857143,0.0,0.0,0.0,0.0,0.07111111111111111,0.07671232876712329,9.911999999999999,0.003918367346938775,0.007432319999999998,0.1646666666666667,0.01190666666666667,0.0,0.03439542857142857,0.18644,0.0,0.0,0.0,12.897082889129933
0,0,0,5,0,0.75843,0.6907371428571428,1.050994285714286,0.0,0.0,0.1864285714285714,0.0,0.0,0.07111111111111111,0.03835616438356165,7.929600000000001,0.001469387755102041,0.0,0.0,0.002533333333333334,0.0,0.0,0.07990285714285716,0.0,0.0,0.0,10.809562853725968
0,0,1,4,0,1.39761,0.6534,0.7938600000000001,0.0,0.0,0.2858571428571429,0.004980000000000001,0.025596,0.1422222222222222,0.03835616438356165,6.608,0.004897959183673469,0.00123872,0.1393333333333333,0.001013333333333333,0.0,0.0,0.2130742857142857,0.0,0.0,0.0,10.30943916102755
0,0,1,4,0,0.7345800000000001,0.7778571428571428,0.6737142857142857,0.0,0.0,0.01242857142857143,0.009960000000000002,0.05119199999999999,0.2133333333333333,0.07671232876712329,10.5728,0.002448979591836735,0.00123872,0.06333333333333332,0.002026666666666667,0.02564228571428571,0.01719771428571428,0.07990285714285716,0.0,0.0,0.0,13.31436821883515
0,0,0,4,0,1.42623,0.3526285714285714,1.172262857142857,1.634185714285714,0.0,0.5012857142857142,0.0,0.03839399999999999,0.07111111111111111,0.03835616438356165,6.608,0.004897959183673469,0.003716159999999999,0.0,0.001013333333333333,0.0,0.0,0.1065371428571429,0.0,0.0,0.0,11.958618728011675
0,0,0,4,0,0.7155,0.05548714285714286,0.2896971428571429,0.9612857142857143,0.88198464,0.1242857142857143,0.01494,0.19197,0.2844444444444444,0.1150684931506849,7.929600000000001,0.004897959183673469,0.0061936,0.07600000000000001,0.0005066666666666667,0.0,0.06879085714285714,0.2397085714285715,0.0964827,0.01166714885714286,0.0,12.068510795159757
0,0,0,5,0,1.1448,0.1929085714285714,0.3986142857142857,0.0,0.0,0.2651428571428571,0.002988,0.03839399999999999,0.07111111111111111,0.0,7.929600000000001,0.004897959183673469,0.0,0.0,0.00152,0.01282114285714286,0.01719771428571428,0.18644,0.0,0.0,0.0,10.266435641723355
0,0,0,5,0,0.7155,0.2074285714285714,0.7298571428571429,0.0,0.44099232,0.04142857142857143,0.0,0.0,0.1422222222222222,0.07671232876712329,7.929600000000001,0.0108734693877551,0.007432319999999998,0.1266666666666666,0.03116,0.01282114285714286,0.01719771428571428,0.1598057142857143,0.0,0.0,0.0,10.649698184186626
0,0,0,4,1,2.17512,0.9754328571428572,2.371474285714286,1.807217142857143,1.234778496,0.3521428571428571,0.000996,0.05119199999999999,0.2844444444444444,0.07671232876712329,13.216,0.003918367346938775,0.00247744,0.05066666666666667,0.00304,0.05128457142857143,0.08598857142857141,0.18644,0.0,0.0,0.0,22.92932602893946
0,0,0,4,1,1.11618,0.4273028571428572,1.572,0.31402,0.22049616,0.1242857142857143,0.0,0.0,0.1422222222222222,0.03835616438356165,8.5904,0.002448979591836735,0.00123872,0.0,0.001773333333333334,0.02564228571428571,0.03439542857142857,0.2663428571428572,0.0,0.0,0.0,12.877104722388097
0,0,0,5,1,0.77274,0.9240942857142856,2.775702857142857,0.11215,0.22049616,0.2237142857142857,0.000996,0.03839399999999999,0.3555555555555556,0.1150684931506849,13.216,0.009306122448979591,0.0061936,0.03800000000000001,0.005826666666666667,0.07692685714285714,0.1031862857142857,0.1598057142857143,0.0,0.0,0.0,19.15415688353617
