性别,学历,生活区,宿舍人数/人,财产支出,白米饭，面粉/kgCO_2,猪肉/kgCO_2,鸡肉/kgCO_2,牛肉/kgCO_2,食物浪费量/kgCO_2,水果/kgCO_2,每天塑料袋/kgCO_2,每天打包盒/kgCO_2,每天购买新衣服件数kgCO_2,每天购买鞋数kgCO_2,冬春电费kgCO_2,冬季热水费kgCO_2,每天作业本/kgCO_2,每天新书本数CO_2,每天打印纸张数CO_2,每天塑料快递件/kgCO_2,每天快递纸盒件/kgCO_2,垃圾每天/kgCO_2,每天干垃圾/kgCO_2,每天湿垃圾/kgCO_2,通勤碳排放kgCO_2,冬季总碳排放
0,0,0,4,0,1.11141,0.005185714285714286,0.3402257142857143,0.0,0.088198464,0.2485714285714286,0.001992,0.012798,0.07111111111111111,0.0,3.304,0.01751020408163265,0.0030968,0.01266666666666667,0.002533333333333334,0.01282114285714286,0.01719771428571428,0.2663428571428572,0.0,0.0,0.0,5.515661150621316
0,0,1,4,0,0.954,0.3111428571428571,1.684285714285714,0.0,0.22049616,0.1242857142857143,0.007968,0.19197,0.2844444444444444,0.07671232876712329,3.9648,0.1050612244897959,0.0061936,0.03800000000000001,0.002533333333333334,0.02564228571428571,0.03439542857142857,0.3196114285714287,0.0,0.0,0.0,8.351542519606125
0,0,1,5,0,0.7155,0.2738057142857143,0.8253,5.883068571428572,0.705587712,0.2402857142857143,0.005976,0.12798,0.2844444444444444,0.03835616438356165,0.6608,0.0583673469387755,0.00185808,0.1266666666666666,0.00076,0.02564228571428571,0.03439542857142857,0.1065371428571429,0.04134972857142858,0.005833574428571429,0.0,10.162514574576308
0,0,1,4,0,2.13696,0.9240942857142856,1.347428571428571,0.0,0.0,0.4971428571428571,0.0,0.0,0.2844444444444444,0.07671232876712329,1.9824,0.02918367346938775,0.00185808,0.1266666666666666,0.00076,0.05128457142857143,0.03439542857142857,0.1598057142857143,0.0,0.0,0.0,7.653136621919051
0,0,0,4,0,1.07325,0.05185714285714285,1.017308571428571,0.9612857142857143,0.088198464,0.4184285714285714,0.0,0.0,0.2844444444444444,0.07671232876712329,1.05728,0.04085714285714286,0.00061936,0.05066666666666667,0.001013333333333333,0.01282114285714286,0.05159314285714284,0.2663428571428572,0.0964827,0.01750072328571428,0.0,5.566662306211567
0,0,0,5,0,1.49301,0.3080314285714286,2.245714285714286,1.057414285714286,0.0,0.116,0.001992,0.012798,0.2844444444444444,0.03835616438356165,0.3304,0.0583673469387755,0.00185808,0.08866666666666667,0.002533333333333334,0.08974800000000001,0.06879085714285714,0.1598057142857143,0.0,0.0,0.0,6.357930607195352
0,0,1,4,0,1.12095,0.1555714285714286,0.6007285714285715,0.0,0.0,0.03314285714285714,0.0,0.07678799999999998,0.07111111111111111,0.0,1.9824,0.02334693877551021,0.0061936,0.1013333333333333,0.0005066666666666667,0.01282114285714286,0.01719771428571428,0.2929771428571429,0.0,0.0,0.0,4.495068507029478
0,0,1,4,0,1.53117,0.3235885714285714,0.6523800000000001,0.1922571428571429,0.44099232,0.406,0.002988,0.115182,0.7822222222222223,0.07671232876712329,1.9824,0.08755102040816326,0.0030968,0.1013333333333333,0.00836,0.02564228571428571,0.03439542857142857,0.1598057142857143,0.0,0.0,0.0408,6.9668771675879855
0,0,0,4,0,0.7155,0.4148571428571428,0.3368571428571429,0.9612857142857143,0.0,0.0,0.0,0.0,0.07111111111111111,0.07671232876712329,3.304,0.07587755102040816,0.007432319999999998,0.1646666666666667,0.01190666666666667,0.0,0.03439542857142857,0.18644,0.0,0.0,0.0,6.3610420728034045
0,0,0,5,0,0.75843,0.6907371428571428,1.050994285714286,0.0,0.0,0.1864285714285714,0.0,0.0,0.07111111111111111,0.03835616438356165,1.9824,0.02334693877551021,0.0,0.0,0.002533333333333334,0.0,0.0,0.07990285714285716,0.0,0.0,0.0,4.8842404047463726
